시군구별(1),시군구별(2),응답자수 (명),조율 (%),조율표준오차,표준화율 (%),표준화율표준오차
서울,소계,22925,58.7,0.4,62.1,0.4
서울,강남구,922,62.1,1.7,64.4,1.5
서울,강동구,920,56.7,1.9,60.7,1.5
서울,강북구,919,57,1.7,62.1,1.8
서울,강서구,919,57.9,1.7,61.5,1.7
서울,관악구,915,58.2,1.6,60,1.6
서울,광진구,917,59.9,1.7,61.6,1.7
서울,구로구,916,58.6,1.8,63.1,1.6
서울,금천구,916,57.2,2.1,60.6,1.8
서울,노원구,918,53.2,2.1,57.3,1.9
서울,도봉구,916,57.5,1.8,61.8,1.9
서울,동대문구,917,59.7,2,63.7,1.7
서울,동작구,915,55.4,2,58.3,1.7
서울,마포구,916,63.7,1.6,66.7,1.4
서울,서대문구,916,56.9,2.2,60.5,1.8
서울,서초구,916,55.5,1.8,57.4,1.8
서울,성동구,914,60.5,1.7,63.2,1.6
서울,성북구,917,59.4,1.8,63.3,1.7
서울,송파구,923,66.3,1.3,69.5,1.3
서울,양천구,914,62.3,2.1,64.4,1.7
서울,영등포구,916,61.8,1.9,64.5,1.6
서울,용산구,919,55,1.8,59.1,2
서울,은평구,915,54.2,2.1,59,2
서울,종로구,914,57.9,2,61.7,1.6
서울,중구,916,54.4,2.2,58,1.7
서울,중랑구,919,57.4,1.7,60.7,1.8
부산,소계,14510,56.8,0.5,61.9,0.5
부산,강서구,901,61.6,1.8,63.4,1.8
부산,금정구,909,63.2,1.9,67.3,1.8
부산,기장군,906,52.6,2.4,58.1,2.1
부산,남구,910,59.2,1.8,65.1,1.6
부산,동구,904,53.7,2.3,62.5,2.2
부산,동래구,909,58,1.9,62.3,1.7
부산,부산진구,910,55.5,1.6,60.4,1.7
부산,북구,909,60.8,2,64,1.7
부산,사상구,909,60.3,2,64.3,1.7
부산,사하구,910,57.7,2,62.5,1.8
부산,서구,905,47.9,1.9,55.2,1.9
부산,수영구,908,51.4,1.8,56.8,2.3
부산,연제구,909,57.9,1.9,62,1.9
부산,영도구,906,52.4,1.9,60.5,2
부산,중구,895,56.8,2.1,64.2,1.9
부산,해운대구,910,52.7,2,58.4,1.9
대구,소계,7292,54.7,0.8,58.6,0.7
대구,남구,911,47,1.8,52.7,2
대구,달서구,914,58.6,1.8,62.1,1.8
대구,달성군,912,56.9,2.1,59.1,1.7
대구,동구,913,53.7,1.9,56.9,1.7
대구,북구,913,50.8,2.2,53.8,1.8
대구,서구,911,59.3,1.6,65.4,1.8
대구,수성구,913,52.9,1.9,56.9,1.7
대구,중구,905,58.3,2.1,65.4,1.6
인천,소계,8972,58,0.7,60.7,0.6
인천,강화군,893,44.4,2,54.3,2.9
인천,계양구,902,58.9,1.8,63.2,1.6
인천,미추홀구,902,58.9,2,62.6,1.5
인천,남동구,903,56.8,1.7,59.1,1.7
인천,동구,895,53.4,2.2,59.9,2.1
인천,부평구,905,56.5,2.1,59,1.7
인천,서구,902,59.5,1.7,59.9,1.7
인천,연수구,904,61.6,2,62.8,1.5
인천,옹진군,867,55.1,2.1,62.2,2.4
인천,중구,899,59.4,2,61.6,2
광주,소계,4568,58,0.9,61.1,0.8
광주,광산구,915,59.8,1.7,60.7,1.5
광주,남구,915,51.3,1.8,55.8,1.9
광주,동구,909,54.3,1.9,60.7,1.9
광주,북구,915,58.4,1.8,61.1,1.6
광주,서구,914,61.3,1.7,65.1,1.5
대전,소계,4577,56.2,0.9,58.7,0.8
대전,대덕구,914,58.1,1.9,61,1.8
대전,동구,916,56.7,1.9,62,1.7
대전,서구,917,57.5,2,59.2,1.6
대전,유성구,914,53.6,1.9,53.6,1.6
대전,중구,916,55.6,1.5,61.1,1.6
울산,소계,4551,61.8,0.8,63.5,0.8
울산,남구,912,63.6,1.5,64.7,1.7
울산,동구,909,65.1,1.9,65.7,1.7
울산,북구,911,64.7,1.9,64.7,1.5
울산,울주군,909,54.3,2,55.9,1.9
울산,중구,910,61.4,1.9,65,1.6
경기,소계,41868,58.8,0.3,61,0.3
경기,가평군,901,52.7,2,57.9,2.1
경기,고양시,2758,58.8,1,61.2,0.9
경기,과천시,916,54.3,1.9,57.8,1.7
경기,구리시,911,58,1.8,61,1.6
경기,김포시,910,59.7,2.1,62.4,1.8
경기,남양주시,1801,53.4,1.3,55.8,1.3
경기,동두천시,906,50.9,2.2,56,1.9
경기,부천시,2733,59.1,1.1,62.4,1
경기,양주시,909,49.3,1.9,52.4,1.7
경기,양평군,905,54.5,1.9,61.9,2
경기,여주시,909,48.1,2.1,54,2.2
경기,연천군,898,48.4,2.1,56.2,2.2
경기,의정부시,910,61.7,2,65.6,1.7
경기,이천시,910,56.9,2,59.9,1.7
경기,파주시,916,52.2,2,54.7,1.8
경기,포천시,909,50.8,1.7,55.5,1.9
경기,하남시,907,57.9,1.5,59.6,1.7
경기,광명시,915,57.4,2.1,60.2,1.6
경기,광주시,914,64.2,1.9,66.5,1.5
경기,군포시,910,57.5,2,59.2,1.7
경기,성남시,2733,59.7,1.1,61.7,1
경기,수원시,3647,62,1,62.9,0.8
경기,시흥시,910,61.7,1.6,61.3,1.6
경기,안산시,1822,60.6,1.3,62.1,1.2
경기,안성시,908,58,1.9,62.1,1.9
경기,안양시,1819,60.5,1.2,62.8,1.1
경기,오산시,909,60.9,1.5,60.7,1.6
경기,용인시,2730,60,1.1,62.3,1
경기,의왕시,911,61.5,1.9,64.6,1.7
경기,평택시,1821,56.4,1.6,58.7,1.4
경기,화성시,910,61.4,2.1,60.5,1.6
강원,소계,15815,54.8,0.7,60.5,0.7
강원,강릉시,891,54.7,2.2,60.4,2
강원,고성군,872,54.9,2.2,65.4,2.3
강원,동해시,889,53.7,2.1,57.8,2
강원,삼척시,887,56.2,2.2,64.3,2.2
강원,속초시,885,53,2.1,59.9,1.8
강원,양구군,861,53.3,2.1,57.6,2.1
강원,양양군,868,53.8,2.1,64.5,2.1
강원,영월군,874,51.8,2.2,59.5,2.7
강원,원주시,892,56.5,1.8,59.8,1.7
강원,인제군,871,57.4,2,62.6,2.2
강원,정선군,875,52.2,2,60.8,2.5
강원,철원군,878,50.8,2.1,56,2.2
강원,춘천시,893,55,1.7,60.6,1.8
강원,태백시,879,60.9,1.7,71,1.8
강원,평창군,877,57.6,2,65.6,2.3
강원,홍천군,882,51,2.1,55.5,2.5
강원,화천군,863,59.2,1.8,64.2,2.1
강원,횡성군,878,49.2,2.2,58.6,2.8
충북,소계,12482,56.2,0.6,61.7,0.6
충북,괴산군,881,47.3,2.7,55.9,3.3
충북,단양군,881,46.5,2.4,57.9,3
충북,보은군,885,46.2,2.2,56.8,2.7
충북,영동군,887,43.5,2.1,51.4,2.2
충북,옥천군,889,44.1,2.3,51.5,2.7
충북,음성군,892,54.2,2.2,59.7,2
충북,제천시,896,54.1,2.1,62.2,2
충북,증평군,882,54.6,2.9,58.6,1.6
충북,진천군,889,54.7,2,59.3,1.8
충북,청주시,3602,61,1,64.2,0.8
충북,충주시,898,51.6,1.6,57.9,1.9
충남,소계,13482,54,0.7,58.8,0.7
충남,계룡시,893,52.6,1.8,55.1,1.9
충남,공주시,907,47.6,1.9,53.7,2.4
충남,금산군,891,45,2.2,53.6,3
충남,논산시,914,47.7,2.3,55.3,2.4
충남,당진시,899,52.7,2.3,55.8,1.8
충남,보령시,907,51.8,2,59.6,2.3
충남,부여군,899,44.4,2.2,53.1,3.1
충남,서산시,899,56.5,2.5,61.5,2
충남,서천군,896,44.9,2.4,57.5,2.7
충남,아산시,903,60.6,1.8,62.9,1.6
충남,예산군,896,46,2.3,53.9,2.5
충남,천안시,902,59.8,1.8,60.3,1.6
충남,청양군,886,47.3,2.8,58.2,2.8
충남,태안군,894,41.7,1.8,47.5,2.2
충남,홍성군,896,48.3,2.1,54.6,2
전북,소계,12415,50.4,0.8,56.9,0.8
전북,고창군,896,47.1,2.3,60.7,2.8
전북,군산시,899,48,2.5,53,2.2
전북,김제시,893,42.6,2.1,50.8,2.7
전북,남원시,892,47.1,2.2,57.5,2.5
전북,무주군,870,47.4,2.2,57.7,3.5
전북,부안군,889,47.3,1.9,54.4,3.1
전북,순창군,873,44.9,2.7,55.7,3.4
전북,완주군,894,47.4,2,53.7,2.1
전북,익산시,899,53.9,2,59.5,1.8
전북,임실군,876,44.9,2,56.3,3
전북,장수군,867,41.8,2.4,53.7,3
전북,전주시,902,54.6,1.8,58.6,1.5
전북,정읍시,893,45.3,2,54.2,2.4
전북,진안군,872,41.3,2.3,47.9,3.4
전남,소계,19525,50.6,0.6,58.4,0.6
전남,강진군,882,46,2.4,56.3,3
전남,고흥군,892,42.8,2.1,55.7,2.8
전남,곡성군,876,37.8,2,44.8,2.9
전남,광양시,896,59.8,2.3,62.4,2
전남,구례군,873,43.8,3,53.6,2.8
전남,나주시,892,53.6,2.2,58.9,2.2
전남,담양군,887,46.3,2.1,56,2.4
전남,목포시,897,51.4,1.9,56.3,1.9
전남,무안군,891,49.7,2.4,54.9,2.5
전남,보성군,884,43.8,2.3,56.7,3
전남,순천시,898,54.6,2,60.5,1.8
전남,신안군,883,44.9,2.5,55.8,3.1
전남,여수시,898,56.3,1.9,62.5,2
전남,영광군,887,43.2,1.8,52.4,2.4
전남,영암군,887,48.4,2.5,54.9,2.5
전남,완도군,887,49.2,2.4,64,2.8
전남,장성군,891,47.7,3.4,56.5,3.2
전남,장흥군,882,42.7,2.1,54,2.9
전남,진도군,878,42.4,2.2,50.5,3.5
전남,함평군,880,42.3,2.1,51.5,2.6
전남,해남군,892,45.4,2.5,59.3,2.6
전남,화순군,892,45.1,2.2,53.5,1.9
경북,소계,22179,52.7,0.6,58.9,0.5
경북,경산시,898,55.2,2.5,60.4,1.8
경북,경주시,902,48.8,2.1,53.9,2
경북,고령군,884,54.8,2.3,62.4,2.3
경북,구미시,1790,60.7,1.7,61,1.4
경북,군위군,871,38.4,2.4,50.1,3.1
경북,김천시,897,50.3,2.1,56,2.3
경북,문경시,890,52.2,2.3,61.7,2.5
경북,봉화군,878,46.4,2.3,57.4,3
경북,상주시,904,45.6,2.2,53.9,2.5
경북,성주군,884,47.4,2.2,54.4,2.8
경북,안동시,897,53.8,2.1,61.8,1.9
경북,영덕군,884,39.3,2.1,54,2.7
경북,영양군,864,43.5,2.3,55.2,3.9
경북,영주시,897,49.8,2.1,62.8,2.1
경북,영천시,894,50.3,1.8,59.8,2.3
경북,예천군,885,57.6,2,66,2.3
경북,울릉군,832,50,2.4,55.1,2.1
경북,울진군,890,52.3,2.2,60.5,2.4
경북,의성군,888,39.1,1.8,46.7,3.4
경북,청도군,886,46,2.4,60.4,3.1
경북,청송군,872,44.6,2.3,57.1,2.3
경북,칠곡군,894,60.3,1.8,63.6,1.8
경북,포항시,1798,53.4,1.5,57.7,1.4
경남,소계,17942,57.2,0.6,61.6,0.6
경남,거제시,903,61.1,1.7,61,1.6
경남,거창군,894,48,2.1,55,2.5
경남,고성군,893,48.3,2.7,60.1,2.2
경남,김해시,904,61.8,2.1,63.4,1.6
경남,남해군,890,47.3,2,61.5,2.7
경남,창원시,2713,62.8,1.1,65.3,1
경남,밀양시,900,49,2.1,59.1,2.7
경남,사천시,901,47,2.1,51.5,1.9
경남,산청군,885,41.8,1.7,50.3,2.9
경남,양산시,903,56.7,1.8,59.9,1.7
경남,의령군,880,45.6,1.7,56.5,2.4
경남,진주시,906,56.8,2,62.4,1.7
경남,창녕군,900,48.6,2.3,53.9,2.5
경남,통영시,901,53,2.4,57.5,2.3
경남,하동군,891,41.7,2,49.3,2.7
경남,함안군,900,47.3,2.2,51.6,2.4
경남,함양군,887,43.8,2.4,56.4,3.2
경남,합천군,891,38,1.9,49.5,3.4
