시군구별(1),시군구별(2),시군구별(3),응답자수 (명),조율 (%),조율표준오차,표준화율 (%),표준화율표준오차
서울,소계,소계,"22,928",16.7,0.3,17.8,0.3
서울,강남구,소계,922,14.6,1.3,15.8,1.3
서울,강동구,소계,920,18.5,1.1,19.3,1.4
서울,강북구,소계,919,19.8,1.8,21.7,1.7
서울,강서구,소계,919,17.1,1.3,18.1,1.3
서울,관악구,소계,916,17.4,1.3,18.8,1.3
서울,광진구,소계,917,21,1.6,22.1,1.4
서울,구로구,소계,915,15.8,1.3,16.6,1.3
서울,금천구,소계,916,19,1.4,20,1.5
서울,노원구,소계,918,18.8,1.6,20.6,1.4
서울,도봉구,소계,916,15.7,1.5,17.2,1.4
서울,동대문구,소계,917,17.5,1.4,19.1,1.4
서울,동작구,소계,915,15.5,1.5,16.8,1.4
서울,마포구,소계,917,16.5,1.2,17.6,1.4
서울,서대문구,소계,916,17.1,1.3,18.3,1.4
서울,서초구,소계,916,12.3,1,13.3,1.2
서울,성동구,소계,915,19.2,1.6,20.2,1.4
서울,성북구,소계,917,17.6,1.6,18.6,1.3
서울,송파구,소계,923,14.5,1.1,15.4,1.2
서울,양천구,소계,915,15.6,1.3,16.2,1.2
서울,영등포구,소계,916,16.2,1.3,17.1,1.3
서울,용산구,소계,919,11.3,1.4,12.1,1.3
서울,은평구,소계,915,15.1,1.3,16,1.4
서울,종로구,소계,914,17.9,1.2,19.5,1.6
서울,중구,소계,916,17.5,1.4,18,1.4
서울,중랑구,소계,919,20.1,1.6,20.9,1.6
부산,소계,소계,"14,510",17.7,0.4,19,0.4
부산,강서구,소계,901,20,1.4,19.9,1.5
부산,금정구,소계,909,18.2,1.4,19.7,1.3
부산,기장군,소계,906,17.4,1.5,18.2,1.5
부산,남구,소계,910,15.9,1.4,17,1.4
부산,동구,소계,904,16.8,1.6,17.5,1.7
부산,동래구,소계,909,14.7,1.3,15.6,1.4
부산,부산진구,소계,910,18.5,1.5,20.7,1.6
부산,북구,소계,909,17.6,1.4,18.1,1.3
부산,사상구,소계,909,18.6,1.5,20.3,1.5
부산,사하구,소계,910,18.6,1.3,19.2,1.2
부산,서구,소계,905,18.6,1.3,19.9,1.7
부산,수영구,소계,908,17.9,1.8,20.7,1.8
부산,연제구,소계,909,15.5,1.4,17.1,1.6
부산,영도구,소계,906,21.1,1.5,22.7,1.9
부산,중구,소계,895,23.6,1.7,25.1,1.7
부산,해운대구,소계,910,17.3,1.4,18.5,1.6
대구,소계,소계,"7,291",18.5,0.5,19.8,0.5
대구,남구,소계,911,18.9,1.3,20.4,1.5
대구,달서구,소계,914,19.6,1.5,20.8,1.4
대구,달성군,소계,912,22,1.6,22.4,1.5
대구,동구,소계,913,18.5,1.3,18.9,1.4
대구,북구,소계,913,17.4,1.2,18.6,1.3
대구,서구,소계,911,22.7,1.5,24.1,1.6
대구,수성구,소계,913,14.4,1,16.4,1.3
대구,중구,소계,904,18.1,1.7,20.3,1.5
인천,소계,소계,"8,971",19.9,0.5,20.7,0.5
인천,강화군,소계,893,18.3,1.9,23.1,2.7
인천,계양구,소계,901,19.8,1.4,20.7,1.5
인천,미추홀구,소계,902,26.1,1.6,28.2,1.6
인천,남동구,소계,903,19.1,1.7,19.7,1.4
인천,동구,소계,895,21.5,1.7,23,1.8
인천,부평구,소계,905,21,1.2,22.3,1.4
인천,서구,소계,902,16.5,1.2,16.3,1.2
인천,연수구,소계,904,17.7,1.4,17.7,1.3
인천,옹진군,소계,867,26,2,27,2.3
인천,중구,소계,899,18.3,1.6,18.7,1.5
광주,소계,소계,"4,568",18.6,0.7,19.6,0.6
광주,광산구,소계,915,21.5,1.5,21.6,1.3
광주,남구,소계,915,18.4,1.4,20.6,1.6
광주,동구,소계,909,17.9,1.5,20.3,1.5
광주,북구,소계,915,16.8,1.2,17.5,1.2
광주,서구,소계,914,17.8,1.4,19.2,1.2
대전,소계,소계,"4,576",18.2,0.6,18.9,0.6
대전,대덕구,소계,914,21.8,1.5,22.8,1.5
대전,동구,소계,916,18.3,1.2,19.1,1.4
대전,서구,소계,917,17.8,1.2,19.1,1.3
대전,유성구,소계,913,15.9,1.3,15.6,1.2
대전,중구,소계,916,19.1,1.2,20.8,1.2
울산,소계,소계,"4,551",19.1,0.6,19,0.6
울산,남구,소계,912,17,1.2,16.7,1.3
울산,동구,소계,909,24.4,1.8,23.7,1.5
울산,북구,소계,911,18.6,1.6,18.6,1.3
울산,울주군,소계,909,20.4,1.4,20,1.3
울산,중구,소계,910,17.6,1.4,18.2,1.4
경기,소계,소계,"41,867",19.5,0.2,19.9,0.2
경기,가평군,소계,901,19.7,1.5,20.7,1.6
경기,고양시,소계,"2,758",18.8,0.8,19.7,0.8
경기,과천시,소계,916,11.2,1.1,11.8,1.2
경기,구리시,소계,911,16.9,1.3,17.7,1.2
경기,김포시,소계,910,16.3,1.6,16.8,1.4
경기,남양주시,소계,"1,801",19.1,0.9,20.1,1.1
경기,동두천시,소계,906,26.4,1.6,28.8,1.6
경기,부천시,소계,"2,733",19.3,0.8,19.9,0.8
경기,양주시,소계,909,22.3,1.6,22.3,1.5
경기,양평군,소계,906,16.5,1.3,19.2,1.7
경기,여주시,소계,909,18.2,1.7,19.8,1.7
경기,연천군,소계,898,23.1,1.8,26.1,1.9
경기,의정부시,소계,910,21.5,1.4,22.9,1.4
경기,이천시,소계,911,24.1,1.5,24.8,1.6
경기,파주시,소계,916,21,1.4,20.6,1.4
경기,포천시,소계,908,21.3,1.7,21.8,1.6
경기,하남시,소계,904,16.4,1.4,16.8,1.5
경기,광명시,소계,916,15.8,1,15.4,1.2
경기,광주시,소계,914,24.4,2,25.1,1.5
경기,군포시,소계,910,18.9,1.4,20.1,1.2
경기,성남시,소계,"2,733",18,0.8,18.4,0.8
경기,수원시,소계,"3,647",19.6,0.8,19.8,0.7
경기,시흥시,소계,910,24.5,1.5,23.5,1.3
경기,안산시,소계,"1,822",24.2,1,24.4,1
경기,안성시,소계,908,19.4,1.6,20.4,1.4
경기,안양시,소계,"1,819",16.9,0.9,17.3,0.9
경기,오산시,소계,909,21.6,1.4,21.1,1.3
경기,용인시,소계,"2,730",15.2,0.8,15.5,0.7
경기,의왕시,소계,911,15.6,1.2,17,1.3
경기,평택시,소계,"1,821",20.6,1.3,20.5,1.1
경기,화성시,소계,910,21.6,1.2,20.7,1.3
강원,소계,소계,"15,817",19.2,0.5,21,0.6
강원,강릉시,소계,891,19.7,1.8,23.1,1.6
강원,고성군,소계,873,21.3,2,22.4,1.8
강원,동해시,소계,889,18.2,1.8,19.7,1.7
강원,삼척시,소계,887,22.9,1.5,26.4,1.9
강원,속초시,소계,885,19.5,1.5,21,1.4
강원,양구군,소계,861,20.1,1.7,20.4,2
강원,양양군,소계,868,17.2,1.6,19.6,1.9
강원,영월군,소계,875,20.9,2,23.9,2.3
강원,원주시,소계,892,20,1.5,20.9,1.6
강원,인제군,소계,871,24.8,2,24.6,1.6
강원,정선군,소계,875,20.5,1.7,21.9,1.9
강원,철원군,소계,878,19.6,1.6,20.9,1.9
강원,춘천시,소계,893,15.3,1.2,17.1,1.5
강원,태백시,소계,879,24.5,1.6,26.1,2
강원,평창군,소계,877,19.4,1.5,22.8,1.9
강원,홍천군,소계,882,18.3,1.8,20.5,2.2
강원,화천군,소계,863,19.4,2,18.6,1.8
강원,횡성군,소계,878,20,1.6,21.6,2.1
충북,소계,소계,"12,485",20.8,0.5,22.2,0.5
충북,괴산군,소계,881,19.5,1.7,21.7,2.8
충북,단양군,소계,881,19.6,1.5,23,2.4
충북,보은군,소계,885,16.8,1.5,20.6,2.4
충북,영동군,소계,887,18.4,2.2,21.2,1.6
충북,옥천군,소계,889,20.2,1.4,24.3,2
충북,음성군,소계,892,22.2,1.8,23.1,1.7
충북,제천시,소계,896,18.8,1.8,22.7,1.9
충북,증평군,소계,885,23.8,1.5,24.4,1.3
충북,진천군,소계,889,23.1,1.6,23.3,1.6
충북,청주시,소계,"3,602",20.4,0.8,21,0.7
충북,충주시,소계,898,23.8,1.6,26.2,1.7
충남,소계,소계,"13,483",20.4,0.5,21.5,0.5
충남,계룡시,소계,893,14.6,1.4,15.1,1.3
충남,공주시,소계,907,17,1.6,18.6,1.7
충남,금산군,소계,891,20.4,1.5,24.1,1.9
충남,논산시,소계,913,20.7,1.9,23.3,2.4
충남,당진시,소계,900,23,1.8,22.8,1.5
충남,보령시,소계,907,17.3,1.6,19.8,1.7
충남,부여군,소계,899,13.2,1.3,15.8,1.6
충남,서산시,소계,899,22.2,1.5,23.1,1.6
충남,서천군,소계,896,17,1.4,19.5,2.3
충남,아산시,소계,903,21.7,1.5,21.8,1.3
충남,예산군,소계,896,17,1.3,19.7,1.6
충남,천안시,소계,903,22.6,1.3,22.4,1.2
충남,청양군,소계,886,16.6,1.4,17.7,2.2
충남,태안군,소계,894,16.7,1.4,19,1.7
충남,홍성군,소계,896,17.7,1.7,20.4,1.8
전북,소계,소계,"12,421",17.2,0.5,18.9,0.7
전북,고창군,소계,898,14.4,1.4,15.2,1.8
전북,군산시,소계,899,22.5,1.6,24.1,1.9
전북,김제시,소계,893,16.3,1.7,18.9,1.9
전북,남원시,소계,893,21.2,1.7,24,2.7
전북,무주군,소계,871,15.9,1.8,17.7,2.3
전북,부안군,소계,889,19.4,1.9,23.7,2
전북,순창군,소계,873,18.1,1.9,21,2.5
전북,완주군,소계,894,18.6,1.5,20.4,1.8
전북,익산시,소계,899,13.8,1.1,14.6,1.1
전북,임실군,소계,876,14.1,1.8,18,2.9
전북,장수군,소계,867,17,1.5,20.2,2.5
전북,전주시,소계,902,15.8,1.2,17.2,1.2
전북,정읍시,소계,895,18.9,1.5,21.9,2
전북,진안군,소계,872,17.2,1.4,18.7,2
전남,소계,소계,"19,527",18.5,0.5,21.1,0.5
전남,강진군,소계,882,16,1.4,19.2,2.1
전남,고흥군,소계,892,12.2,1.4,15.9,1.9
전남,곡성군,소계,876,17.4,1.5,19.1,2.2
전남,광양시,소계,896,20.8,1.7,22.3,1.7
전남,구례군,소계,873,16.6,1.4,20.6,2
전남,나주시,소계,892,18.2,1.6,20.5,1.4
전남,담양군,소계,887,17.6,1.5,20.4,1.8
전남,목포시,소계,898,17.8,1.7,19.3,1.6
전남,무안군,소계,891,18.7,1.8,19.7,1.7
전남,보성군,소계,884,18.8,1.7,26.8,2.6
전남,순천시,소계,898,19,1.8,20.9,1.6
전남,신안군,소계,884,21.6,1.9,27.5,2
전남,여수시,소계,898,18.8,1.6,20.6,1.6
전남,영광군,소계,887,19.8,1.2,21.8,1.6
전남,영암군,소계,887,21.2,1.5,21.9,1.7
전남,완도군,소계,887,21.9,1.8,27.9,2.5
전남,장성군,소계,891,17.3,1.3,19.9,1.8
전남,장흥군,소계,882,17.5,1.6,19.8,2.1
전남,진도군,소계,878,19.8,2.5,25,2.5
전남,함평군,소계,880,16,1.5,18.3,1.9
전남,해남군,소계,892,18.2,1.6,23.9,2.5
전남,화순군,소계,892,16.6,1.3,19,1.8
경북,소계,소계,"22,182",19.6,0.4,21.2,0.4
경북,경산시,소계,898,18.6,1.5,19.8,1.6
경북,경주시,소계,902,18.2,1.2,18.2,1.4
경북,고령군,소계,884,23,1.7,28.3,1.9
경북,구미시,소계,"1,790",22.6,1.2,22.4,1.1
경북,군위군,소계,871,20.4,1.4,23.3,2.1
경북,김천시,소계,897,19.5,1.8,21.1,1.7
경북,문경시,소계,890,16.9,1.7,18.8,2
경북,봉화군,소계,878,20.8,1.5,22.4,2.4
경북,상주시,소계,904,17.3,1.3,20,1.6
경북,성주군,소계,884,21.2,1.4,22.5,2
경북,안동시,소계,897,16,1.3,18.3,1.4
경북,영덕군,소계,886,15.9,1.3,20.4,1.9
경북,영양군,소계,864,17.1,1.6,19.9,2.2
경북,영주시,소계,897,18.8,1.5,22,2
경북,영천시,소계,894,21.8,1.6,23.8,1.8
경북,예천군,소계,885,15.1,1.4,16.9,1.7
경북,울릉군,소계,832,26.1,2,26.2,1.6
경북,울진군,소계,890,17.1,1.5,18.8,1.8
경북,의성군,소계,889,19.2,1.8,24.8,3.4
경북,청도군,소계,886,16.3,1.7,20.4,2.3
경북,청송군,소계,872,15.7,1.4,17.3,2
경북,칠곡군,소계,894,24.9,2,25,1.6
경북,포항시,소계,"1,798",20.1,1.1,21.8,1.1
경남,소계,소계,"17,942",18.2,0.4,18.9,0.5
경남,거제시,소계,903,17.6,1.2,16.9,1.2
경남,거창군,소계,894,14.8,1.1,17.3,1.7
경남,고성군,소계,893,17.6,1.4,17.9,2
경남,김해시,소계,904,19.4,1.5,19.6,1.3
경남,남해군,소계,890,15.9,1.3,19.2,2.2
경남,창원시,소계,"2,713",17.7,0.9,18.3,0.9
경남,밀양시,소계,900,17.6,1.6,20.2,2.3
경남,사천시,소계,901,16.3,1.2,16.6,1.4
경남,산청군,소계,885,16.4,1.3,17.1,1.9
경남,양산시,소계,903,19.5,1.2,19.6,1.3
경남,의령군,소계,880,15.6,1.6,19.1,1.9
경남,진주시,소계,906,17,1.5,17.8,1.6
경남,창녕군,소계,900,20.8,1.5,21.7,1.6
경남,통영시,소계,901,23.4,1.7,24.4,1.8
경남,하동군,소계,891,16.4,1.6,19.5,2.4
경남,함안군,소계,900,20.8,1.8,21.9,1.7
경남,함양군,소계,887,18.4,1.5,22.8,2.5
경남,합천군,소계,891,16.8,1.7,19.9,2.2
