시군구별(1),시군구별(2),일반의,전문의,간호사
광주,소계,160,2937,7990
광주,동구,16,580,1894
광주,서구,40,620,1199
광주,남구,22,411,1367
광주,북구,48,684,1679
광주,광산구,34,642,1851
전북,소계,303,2895,7329
전북,전주시,66,1370,3441
전북,군산시,35,343,816
전북,익산시,43,460,1344
전북,정읍시,24,135,368
전북,남원시,15,122,278
전북,김제시,18,119,276
전북,완주군,14,97,202
전북,진안군,10,28,53
전북,무주군,14,15,32
전북,장수군,7,16,26
전북,임실군,13,31,63
전북,순창군,17,28,92
전북,고창군,15,65,190
전북,부안군,12,66,148
전남,소계,407,2533,8051
전남,목포시,20,457,1596
전남,여수시,41,337,991
전남,순천시,32,467,1859
전남,나주시,22,160,510
전남,광양시,11,114,348
전남,담양군,17,52,155
전남,곡성군,12,25,64
전남,구례군,10,28,80
전남,고흥군,25,73,189
전남,보성군,13,53,168
전남,화순군,20,248,827
전남,장흥군,14,42,86
전남,강진군,17,40,84
전남,해남군,17,98,244
전남,영암군,17,30,78
전남,무안군,22,77,195
전남,함평군,12,45,87
전남,영광군,11,85,212
전남,장성군,9,38,95
전남,완도군,29,28,72
전남,진도군,16,18,36
전남,신안군,20,18,75
대전,소계,155,2917,6274
대전,동구,19,272,423
대전,중구,31,772,2087
대전,서구,55,1175,2440
대전,유성구,26,455,746
대전,대덕구,24,243,578
충북,소계,194,2088,4382
충북,청주시,77,1307,2662
충북,충주시,30,279,720
충북,제천시,19,149,402
충북,보은군,10,35,63
충북,옥천군,11,59,124
충북,영동군,11,46,76
충북,증평군,5,21,14
충북,진천군,7,67,85
충북,괴산군,11,30,42
충북,음성군,9,81,147
충북,단양군,4,14,47
충남,소계,326,2501,5284
충남,천안시,67,1081,2631
충남,공주시,17,143,327
충남,보령시,13,86,144
충남,아산시,31,319,479
충남,서산시,24,141,271
충남,논산시,24,187,392
충남,계룡시,3,29,27
충남,당진시,20,138,193
충남,금산군,17,48,78
충남,부여군,19,52,110
충남,서천군,20,48,114
충남,청양군,11,27,48
충남,홍성군,20,102,301
충남,예산군,19,56,94
충남,태안군,21,44,75
부산,소계,363,6465,16696
부산,중구,11,165,390
부산,서구,12,814,3426
부산,동구,15,328,933
부산,영도구,16,153,355
부산,부산진구,63,1033,2262
부산,동래구,35,527,1394
부산,남구,19,311,640
부산,북구,25,393,887
부산,해운대구,55,714,1835
부산,사하구,26,410,704
부산,금정구,25,297,649
부산,강서구,5,69,79
부산,연제구,19,367,794
부산,수영구,16,358,901
부산,사상구,14,328,965
부산,기장군,7,198,482
대구,소계,171,4620,10541
대구,중구,50,954,2565
대구,동구,15,512,998
대구,서구,10,253,624
대구,남구,5,612,1880
대구,북구,23,643,1460
대구,수성구,22,606,924
대구,달서구,33,844,1811
대구,달성군,13,196,279
울산,소계,106,1484,4003
울산,중구,18,259,862
울산,남구,48,617,1354
울산,동구,13,311,1063
울산,북구,13,133,363
울산,울주군,14,164,361
경북,소계,376,3204,8921
경북,포항시,40,773,2737
경북,경주시,45,283,764
경북,김천시,16,162,431
경북,안동시,22,306,1088
경북,구미시,27,515,1239
경북,영주시,24,115,282
경북,영천시,16,117,257
경북,상주시,16,111,286
경북,문경시,19,87,246
경북,경산시,17,323,646
경북,군위군,7,12,18
경북,의성군,17,44,118
경북,청송군,8,26,39
경북,영양군,5,5,21
경북,영덕군,8,31,58
경북,청도군,9,51,115
경북,고령군,7,24,50
경북,성주군,14,38,98
경북,칠곡군,13,81,151
경북,예천군,13,39,118
경북,봉화군,15,11,53
경북,울진군,10,41,90
경북,울릉군,8,9,26
경남,소계,422,4561,12862
경남,창원시,94,1656,4582
경남,진주시,43,662,2248
경남,통영시,21,145,340
경남,사천시,20,117,302
경남,김해시,36,641,1444
경남,밀양시,17,108,199
경남,거제시,25,216,709
경남,양산시,34,618,2088
경남,의령군,8,22,57
경남,함안군,12,47,125
경남,창녕군,12,79,196
경남,고성군,16,47,113
경남,남해군,16,31,44
경남,하동군,9,33,87
경남,산청군,10,22,39
경남,함양군,18,25,48
경남,거창군,15,59,160
경남,합천군,16,33,81
서울,소계,1124,22352,47763
서울,종로구,35,1305,3384
서울,중구,40,692,1405
서울,용산구,15,372,725
서울,성동구,18,484,1068
서울,광진구,28,670,1307
서울,동대문구,35,861,2367
서울,중랑구,22,508,1288
서울,성북구,32,686,1536
서울,강북구,19,375,469
서울,도봉구,19,334,736
서울,노원구,41,894,2048
서울,은평구,33,519,875
서울,서대문구,30,1065,2994
서울,마포구,47,471,351
서울,양천구,24,730,1662
서울,강서구,48,708,1273
서울,구로구,30,756,1703
서울,금천구,13,287,440
서울,영등포구,35,1089,2520
서울,동작구,20,759,1824
서울,관악구,25,510,752
서울,서초구,90,1541,3077
서울,강남구,315,3875,6424
서울,송파구,71,1861,5055
서울,강동구,39,1000,2480
인천,소계,239,4085,10355
인천,중구,8,315,1129
인천,동구,3,108,343
인천,미추홀구,22,561,1135
인천,연수구,20,330,487
인천,남동구,57,881,2449
인천,부평구,37,739,2052
인천,계양구,22,421,970
인천,서구,39,646,1625
인천,강화군,16,64,140
인천,옹진군,15,20,25
경기,소계,896,17223,36593
경기,수원시,99,2013,5040
경기,성남시,78,2348,5007
경기,의정부시,46,694,1616
경기,안양시,46,899,1785
경기,부천시,62,1346,3649
경기,광명시,16,385,565
경기,평택시,24,565,870
경기,동두천시,8,116,230
경기,안산시,61,991,2574
경기,고양시,76,1751,4783
경기,과천시,5,40,15
경기,구리시,18,409,782
경기,남양주시,40,569,814
경기,오산시,11,254,495
경기,시흥시,25,391,782
경기,군포시,11,336,699
경기,의왕시,9,114,194
경기,하남시,11,179,129
경기,용인시,56,968,1667
경기,파주시,31,364,696
경기,이천시,18,224,320
경기,안성시,17,182,380
경기,김포시,18,442,788
경기,화성시,40,732,1247
경기,광주시,12,234,280
경기,양주시,14,215,293
경기,포천시,12,168,285
경기,여주시,8,116,195
경기,연천군,7,31,48
경기,가평군,7,52,150
경기,양평군,10,95,215
강원,소계,223,2051,5509
강원,춘천시,21,548,1416
강원,원주시,43,540,1447
강원,강릉시,16,396,1191
강원,동해시,7,42,172
강원,태백시,10,101,317
강원,속초시,10,105,223
강원,삼척시,17,53,145
강원,홍천군,12,80,165
강원,횡성군,12,23,40
강원,영월군,10,31,94
강원,평창군,9,27,47
강원,정선군,12,20,79
강원,철원군,9,30,52
강원,화천군,6,17,26
강원,양구군,7,15,21
강원,인제군,9,12,20
강원,고성군,5,6,23
강원,양양군,8,5,31
